="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)"
="w",="-30.124",="-29.916",="-30.331",="-29.869",="-29.785",="0.409",="0.205",="-0.220",="0.242",="-0.661",="0.341",="-0.689",="0.288",="0.449",="-0.326",="0.937",="0.720",="0.029",="0.339",="0.036",="9.826",="10.165",="9.684",="9.778",="9.648",="29.801",="30.174",="30.018",="29.963",="29.891"
="",="(0.4597)",="(0.4191)",="(0.4416)",="(0.4711)",="(0.4577)",="(0.4571)",="(0.3982)",="(0.4191)",="(0.4458)",="(0.4608)",="(0.4501)",="(0.4560)",="(0.4236)",="(0.4649)",="(0.4519)",="(0.4395)",="(0.4589)",="(0.4468)",="(0.4894)",="(0.4926)",="(0.4311)",="(0.4341)",="(0.4305)",="(0.4426)",="(0.4428)",="(0.4300)",="(0.4687)",="(0.4484)",="(0.4450)",="(0.4476)"
="N",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200"
