="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)"
="w",="-30.124",="-29.916",="-30.331",="-29.869",="-29.785",="0.578",="0.290",="-0.311",="0.342",="-0.935",="0.591",="-1.194",="0.499",="0.778",="-0.565",="1.873",="1.440",="0.058",="0.678",="0.072",="9.611",="10.368",="9.294",="9.503",="9.212",="29.512",="30.426",="30.045",="29.908",="29.733"
="",="(0.4597)",="(0.4191)",="(0.4416)",="(0.4711)",="(0.4577)",="(0.6464)",="(0.5631)",="(0.5927)",="(0.6305)",="(0.6516)",="(0.7796)",="(0.7898)",="(0.7336)",="(0.8052)",="(0.7828)",="(0.8790)",="(0.9178)",="(0.8935)",="(0.9787)",="(0.9852)",="(0.9640)",="(0.9706)",="(0.9627)",="(0.9898)",="(0.9902)",="(1.0533)",="(1.1482)",="(1.0983)",="(1.0900)",="(1.0963)"
="N",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200"
