="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)"
="w",="-30.039",="-29.973",="-30.105",="-29.959",="-29.932",="0.129",="0.065",="-0.070",="0.076",="-0.209",="0.108",="-0.218",="0.091",="0.142",="-0.103",="0.296",="0.228",="0.009",="0.107",="0.011",="9.945",="10.052",="9.900",="9.930",="9.889",="29.937",="30.055",="30.006",="29.988",="29.966"
="",="(0.1454)",="(0.1325)",="(0.1396)",="(0.1490)",="(0.1447)",="(0.1445)",="(0.1259)",="(0.1325)",="(0.1410)",="(0.1457)",="(0.1423)",="(0.1442)",="(0.1339)",="(0.1470)",="(0.1429)",="(0.1390)",="(0.1451)",="(0.1413)",="(0.1547)",="(0.1558)",="(0.1363)",="(0.1373)",="(0.1361)",="(0.1400)",="(0.1400)",="(0.1360)",="(0.1482)",="(0.1418)",="(0.1407)",="(0.1415)"
="N",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200",="200"
